userid,number_of_distinct_songs
user_000001,2325
user_000002,7701
user_000003,4075
user_000004,5409
user_000005,1378
user_000006,4958
user_000007,644
user_000008,416
user_000009,2333
user_000010,603
user_000011,6075
user_000012,10569
user_000013,2849
user_000014,254
user_000015,1962
user_000016,6895
user_000017,11853
user_000018,1060
user_000019,2888
user_000020,1821
user_000021,8993
user_000022,4746
user_000023,1906
user_000024,9580
user_000025,10500
user_000026,3752
user_000027,757
user_000028,5168
user_000029,8021
user_000030,3665
user_000031,17983
user_000032,1375
user_000033,4488
user_000034,4766
user_000035,3158
user_000036,2117
user_000037,2338
user_000038,3251
user_000039,1553
user_000040,3292
user_000041,6702
user_000042,951
user_000043,6343
user_000044,1751
user_000045,330
user_000046,1828
user_000047,1658
user_000048,493
user_000049,278
user_000050,4028
user_000051,2123
user_000052,7891
user_000053,7123
user_000054,4912
user_000055,1298
user_000056,4725
user_000057,397
user_000058,1408
user_000059,5782
user_000060,10775
user_000061,6
user_000062,3834
user_000063,2147
user_000064,4673
user_000065,2514
user_000066,565
user_000067,4693
user_000068,14485
user_000069,2927
user_000070,2507
user_000071,896
user_000072,3749
user_000073,1738
user_000074,14259
user_000075,4702
user_000076,2909
user_000077,350
user_000078,3816
user_000079,4516
user_000080,428
user_000081,524
user_000082,2946
user_000083,3879
user_000084,1426
user_000085,2016
user_000086,4791
user_000087,2763
user_000088,137
user_000089,8896
user_000090,1696
user_000091,7862
user_000092,2013
user_000093,3889
user_000094,3614
user_000095,7811
user_000096,5892
user_000097,15398
user_000098,228
user_000099,355
user_000100,1787
user_000101,91
user_000102,4962
user_000103,3179
user_000104,4132
user_000105,2152
user_000106,366
user_000107,9663
user_000108,10768
user_000109,1939
user_000110,3265
user_000111,1882
user_000112,10573
user_000113,2005
user_000114,3587
user_000115,1552
user_000116,7217
user_000117,2792
user_000118,768
user_000119,2609
user_000120,6197
user_000121,3585
user_000122,2242
user_000123,3149
user_000124,988
user_000125,3958
user_000126,879
user_000127,1509
user_000128,912
user_000129,6051
user_000130,2602
user_000131,8551
user_000132,4380
user_000133,3850
user_000134,8233
user_000135,16104
user_000136,1550
user_000137,3257
user_000138,1283
user_000139,1685
user_000140,171
user_000141,1886
user_000142,5404
user_000143,292
user_000144,623
user_000145,2309
user_000146,136
user_000147,5777
user_000148,2347
user_000149,14679
user_000150,656
user_000151,3633
user_000152,3908
user_000153,1852
user_000154,3930
user_000155,5181
user_000156,6419
user_000157,206
user_000158,1743
user_000159,9261
